City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
524,Lahaina,US,84.2,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
526,Lander,US,79.2,moderate rain,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
529,Siva,EG,81.54,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
530,Agadez,NE,84.81,scattered clouds,19.75,10.25,
532,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
533,Santa Cruz Del Sur,CU,78.89,broken clouds,20.7147,-77.9956,
540,Bubaque,GW,79.93,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
545,Coahuayana,MX,78.4,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
546,Myrtle Beach,US,82.44,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
550,Jacksonville Beach,US,80.73,few clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
554,Nabire,ID,82.36,few clouds,-3.3667,135.4833,Hotel Nusantara I
558,Baturaja,ID,78.66,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
561,Batesville,US,83.84,scattered clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
565,Saint Marys,US,80.71,clear sky,30.7305,-81.5465,Spencer House Inn by Brham
568,Bocas Del Toro,PA,78.98,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
569,Champerico,GT,79.18,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
572,Dwarka,IN,82.71,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
582,Kualakapuas,ID,84.47,overcast clouds,-3.0091,114.3876,Guest House Izonk
593,Tezu,IN,78.28,overcast clouds,27.9167,96.1667,Circuit House
596,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
597,Puerto El Triunfo,SV,83.32,broken clouds,13.2833,-88.55,Hotel Jardin
600,Gizo,SB,84.49,clear sky,-8.103,156.8419,Imagination Island
601,Labuhan,ID,84.9,overcast clouds,-6.8844,112.2051,DoubleFAG
608,Tatawin,TN,84.04,scattered clouds,32.9297,10.4518,Sangho Privilege Tataouine
609,Kralendijk,BQ,80.58,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
615,Tandur,IN,79.83,overcast clouds,17.2333,77.5833,SPOT ON 63149 Swagath Residency
622,Pingliang,CN,82.45,clear sky,35.5392,106.6861,North Gate Hostel
625,Pemangkat,ID,84.25,broken clouds,1.1667,108.9667,Ramah Kost KITA
628,Tiruppuvanam,IN,80.98,few clouds,9.8333,78.2667,Velammal Lodge
631,Trapani,IT,80.28,clear sky,37.8333,12.6667,
635,Kudahuvadhoo,MV,82.49,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
637,Awjilah,LY,79.54,clear sky,29.1081,21.2869,المنزل
640,Avera,US,81.55,broken clouds,33.194,-82.5271,
642,Tura,IN,80.82,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
647,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
648,Sabla,NG,80.02,overcast clouds,12.7525,4.7077,
657,Kailua,US,84.18,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
658,Luganville,VU,82.35,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
663,The Valley,AI,81.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
666,High Level,CA,78.91,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
668,Kumluca,TR,82.92,clear sky,36.3703,30.2869,Akkol Apart
672,Kiunga,PG,80.37,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
680,Zhifang,CN,80.58,overcast clouds,30.35,114.3167,Echarm Hotel Jiangxia Zhongbai Plaza
682,Aden,YE,82.56,few clouds,12.7794,45.0367,Sama Emirate Hotel
683,Banda Aceh,ID,82.11,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
684,Weligama,LK,78.62,overcast clouds,5.9667,80.4167,Weligama Bay Resort
685,La Orilla,MX,79.93,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
687,Una,IN,81.54,overcast clouds,20.8167,71.0333,Hotel Harbhole
692,Great Falls,US,78.19,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
702,Khandyga,RU,84.6,few clouds,62.6667,135.6,Apel'sin
704,Veraval,IN,81.81,overcast clouds,20.9,70.3667,Lords Inn Somnath
711,Thinadhoo,MV,83.17,overcast clouds,0.5333,72.9333,
716,Marzuq,YE,81.12,overcast clouds,14.4,46.4667,
